name,symptoms
Плеврит,"

  Заболевание начинается остро или постепенно. Возникает боль в груди, которая усиливается во время глубоких вдохов, физической работы, наклонов в сторону. Если лечь на больной бок, то боль уменьшится за счет того, что соответствующая сторона грудной клетки будет совершать меньшие движения во время дыхания.

  Нарушается общее состояние больного: отмечается слабость, быстрая утомляемость. Поднимается температура тела, как правило, по вечерам. Возникает ломота и боль в мышцах и суставах.




  Часто сначала возникает сухой плеврит, а со временем между листками плевры накапливается жидкость. При этом боль в груди постепенно проходит, становится тупой. Возникает ощущение тяжести, кашель. Спустя некоторое время боль может снова усилиться. Появляется одышка, ощущение нехватки воздуха, дыхание становится учащенным. Кожа лица, кистей и стоп приобретает синюшный оттенок.


"
Пневмония,"

  Симптомы пневмонии могут быть схожи с симптомами простуды или гриппа. В зависимости от этиологии пневмонии могут иметь различные симптомы.




  Симптомы бактериальной пневмонии могут появляться как остро, так и постепенно.

  Они включают: лихорадку, дрожь, острую боль в груди, сильное потоотделение, кашель с густой, рыжеватой или зеленоватой мокротой, учащенный пульс и ускоренное дыхание, цианотичность губ и ногтей.




  Для вирусной пневмонии характерны: жар, сухой кашель, головная боль, мышечная боль, слабость, переутомление и сильная одышка.




  Симптомы пневмонии, вызываемой микоплазмами, часто схожи с симптомами бактериальной и вирусной пневмонии, но выражены обычно слабее.


"
Пневмоторакс,"

  Клиническая картина зависит от механизма возникновения заболевания, степени спадения легкого и причины, вызвавшей его.




  Болезнь начинается остро после физического напряжения, приступа кашля или без видимых причин с резкой колющей боли в грудной клетке, отдающей в шею, верхнюю конечность, иногда в верхнюю половину живота, усиливающейся при дыхании, кашле или движениях грудной клетки, затруднения дыхания, сухого кашля. Больной дышит часто и поверхностно, имеется сильная одышка, ощущает «нехватку воздуха». Проявляется бледность или синюшность (цианоз) кожных покровов, в частности лица.




  При открытом пневмотораксе больной лежит на стороне повреждения, плотно прижимая рану. При осмотре раны слышен шум присасывания воздуха. Из раны может выделяться пенистая кровь. Движения грудной клетки асимметричны.


"
Туберкулез,"

  Сильный кашель продолжительностью более двух недель, боль в грудной клетке, кашель с кровью или с отхождением мокроты, потеря веса, повышенная температура тела, ночная потливость, снижение аппетита, слабость или усталость, коричневато-красные болезненные подкожные узелки, преимущественно в области голеней.


"
Эмфизема легких,"

  К «классическим» проявлениям диффузной эмфиземы легких относят:



 
  
   выраженная одышка;
  
  
   цианоз;
  
  
   увеличение объема (бочкообразность) грудной клетки и уменьшение ее дыхательных движений;
  
  
   расширение и иногда выбухание межреберных промежутков;
  
  
   расширение или выбухание надключичных областей.
  
 



  На ранних стадиях эмфиземы главным симптомом служит одышка при физической нагрузке. Вначале она непостоянна и чаще проявляется зимой, затем уже в любое время года. В дальнейшем одышка возникает при малейшем физическом усилии и, наконец, может отмечаться и в покое. У больных наблюдаются короткий, «острый», «хватающий» вдох и удлиненный выдох. Они осуществляют выдох при сомкнутых губах, надувая щеки («пыхтят»). Дыхательные движения грудной клетки уменьшены, в дыхании участвуют дополнительные мышцы: груди и шеи.




  Одышка, что долгие годы, заметно не проявляясь и исподволь прогрессируя, она превращается в состояние, угрожающее жизни больного.




  Пациенты с эмфиземой легких в начальных стадиях заболевания принимают вынужденное положение на животе с опущенной вниз головой и плечевым поясом, что приносит им облегчение. Однако при тяжелой эмфиземе с выраженными изменениями грудной клетки и утомлением дыхательных мышц горизонтальное положение вызывает напряженную работу диафрагмы, поэтому больные вынуждены даже спать в сидячем положении. Больные эмфиземой легких нередко занимают положение сидя с несколько наклоненным вперед туловищем, опершись руками о колени или край кровати, что позволяет фиксировать плечевой пояс и включить дополнительную мускулатуру в акт дыхания.




  В далеко зашедших случаях появляется цианоз: у языка появляется голубой оттенок; губы и ногти становятся синеватыми, особенно после физической нагрузки.


"
Анкилозирующий спондилит,"

  Обычно заболевание развивается постепенно, появляются небольшие боли в пояснице, которые со временем усиливаются и распространяются на другие отделы позвоночника. Боли бывают стойкие и лишь на время уменьшаются после приема лекарств. Обычно рано утром скованность и боль в пояснице выражены сильнее.




  Постепенно появляется ограничение подвижности позвоночника, что порой происходит незаметно для самого больного и выявляется только при специальном обследовании врачом. Иногда боли бывают очень слабыми или даже отсутствуют, а единственным проявлением болезни является нарушение подвижности позвоночника. Изменения позвоночника распространяются обычно снизу вверх, поэтому затруднения при движении шеи появляются довольно поздно. В некоторых случаях ограничения движений и боли в шейном отделе позвоночника наблюдаются с первых лет заболевания.




  Боль не всегда ограничена спиной. У некоторых людей время от времени боль возникает в груди.




  Наряду с уменьшением гибкости позвоночника ограничивается подвижность суставов, связывающих ребра с грудными позвонками. Это приводит к нарушению дыхательных движений и ослаблению вентиляции легких, что может способствовать возникновению хронических легочных заболеваний.




  У некоторых больных помимо изменений позвоночника появляются боли и ограничение движений в плечевых, тазобедренных, височно-нижнечелюстных суставах, реже боли и припухание суставов рук и ног, боли в грудине. Эти явления могут быть умеренными и непродолжительными, но в ряде случаев они отличаются стойкостью и протекают довольно тяжело. Одна сторона обычно более болезненная, чем другая.




  Боль и скованность увеличение после длительных сидячих периодов, и это состояние может быть прервано сном до начала утренней боли и скованности.




  В отличие от артритов при других заболеваниях, воспаление суставов при анкилозирующем сподилите редко сопровождается их разрушением, но способствует ограничению подвижности в них.


"
Болезнь Педжета,"

  Симптомы болезни Педжета зависят от поврежденных костей и тяжести заболевания.




  Симптомы при болезни Педжета включают боль вокруг поврежденной кости и остеоартрит, если болезнь возникает около сустава кости. Боль, связанная с поврежденной костью при болезни Педжета, обычно описывается как непрерывная, тупая, ноющая и в отличие от остеоартрита, часто усиливается в покое и после отдыха. Скованность, ограничение подвижности в пораженных суставах также усиливаются после отдыха.




  Кости в различных частях тела становятся сильно утолщенными и хрупкими, что приводит к разрушению костей, поддерживающих вес тела. Переломы могут возникнуть даже при легких травмах, спина становится сутулой и деформированной, искривляются ноги.




  Неправильный рост костей черепа, в результате которого появляется характерный вид головы, и позвоночника может оказать давление на окружающие нервы, повреждение которых может вызвать серьёзные последствия, такие как постоянная потеря слуха или зрения, головные боли или повреждение нервов спинного мозга, вызывая покалывание и онемение в руках и ногах, ощущение «ползания мурашек» по телу. В очень редких случаях тяжелая форма болезни Педжета может вызвать остановку сердца или малигнизацию (озлокачествление) процесса с развитием опухоли кости.


"
Гигантоклеточный артериит,"

  Симптомы гигантоклеточного артериита разделяются на общие, сосудистые и поражение органа зрения.




  
   Общие симптомы:
  



 
  
   фебрильная (температура тела 38-39
   
    0
   
   С) лихорадка,
  
  
   головная боль, иногда очень сильная,
  
  
   острые боли в области лица, онемение, покалывание, возникновение болей в жевательных мышцах и языке при еде или разговоре,
  
  
   анорексия (отсутствие аппетита),
  
  
   слабость, потеря массы тела,
  
  
   нарушение сна, депрессия,
  
  
   гигантоклеточный артериит может начаться с симптомов, характерных для ревматической полимиалгии: лихорадки, недомогания, боли в мышцах плечевого пояса, боли в мышцах тазового пояса.
  
 



  
   Сосудистые симптомы:
  



 
  
   болезненность, припухлость, покраснение и уплотнение височных и теменных артерий, узелки на волосистой части головы,
  
  
   поражение других крупных артерий дает свою симптоматику (перемежающаяся хромота, инсульт, инфаркт миокарда, инфаркты внутренних органов).
  
 



  
   Поражение органа зрения:
  




  У больных гигантоклеточным артериитом отмечается преходящая нечеткость зрения (ощущение «тумана» перед глазами), диплопия (двоения в глазах) и боль в глазу. Опасное осложнение гигантоклеточного артериита, особенно в нелеченных случаях, — ишемическая невропатия зрительного нерва со снижением зрения, вплоть до внезапной слепоты. Обычно изменения возникают лишь через несколько месяцев после появления головной боли и нарушений зрения. Если внимательно отнестись к таким жалобам и своевременно назначить лечение, слепоты удается избежать.


"
Остеоартрит,"

  Остеоартроз часто протекает с небольшим количеством симптомов или бессимптомно, даже в тех случаях, когда рентгеновские снимки могут показать изменение сустава. У Вас могут быть периоды с неустойчивостью и серьезной болью в суставе, сменяющиеся длительными периодами стабильности.




  Большинство пожилых людей испытывает некоторые приступы боли в суставах, которые вскоре проходят или ослабевают после отдыха и тепла, приложенного на сустав. Иногда, однако, симптомы более выражены и могут включать любое из следующего:




  
   Боль и скованность
  




  Первым симптомом, заставляющим обратится к врачу, является боль в суставе. Больные чаще говорят, что она «ноющая», и нечетко локализованная. Интенсивность боли может быть различной в зависимости от стадии заболевания — от резко выраженной, ограничивающей подвижность сустава, до умеренной, возникающей лишь при определенных движениях. Боль в суставе имеет склонность к усилению при нагрузках и уменьшению после отдыха. По мере прогрессирования остеоартроза, боль начинает возникать при минимальной активности, и в далеко зашедших случаях она даже может будить пациента среди ночи.




  Скованность или «стартовые» боли обычно возникают после периода покоя, особенно по утрам, и после периода малой активности, когда трудно начинать движение, и вскоре проходят на фоне двигательной активности. Скованность суставов при остеоартритах кратковременна, обычно она не бывает дольше 15 минут.




  
   Увеличение сустава в объеме (припухлость)
  




  Это происходит, когда раздражение синовиальной оболочки вызывает излияние дополнительной смазочной жидкости в сустав так же, как ваш глаз вырабатывает слезы на любое раздражение. Но в суставе, дополнительная смазочная жидкость не может излиться так легко, и таким образом это вызывает припухлость сустава. Это чаще всего происходит в крупных суставах: в тазобедренных, коленных и суставах позвоночника.




  
   Костные выросты
  




  Довольно обычным осложнением остеоартрита является появление костных выростов (названных узлами) в суставах кисти. Они встречаются обычно у женщин и иногда возникают уже в возрасте 40 лет.




  Хотя эти узлы могут сделать суставы кисти болезненными, большинство людей продолжают использовать свои руки без ограничения. Боль может быть уменьшена соответствующим лечением на ранних стадиях. Некоторые люди не чувствуют боли с этими узлами, и у многих людей с этим видом остеоартроза никогда не возникает серьёзных проблем с другими суставами.


"
Остеомиелит,"

  Проявления заболевания зависят от того, каким путем произошло заражение. Если инфекция проникла в красный костный мозг с током крови, то часто в начале заболевания сильно ухудшается общее состояние, повышается температура тела, больной становится вялым, бледнеет. Примерно на 2-й день появляется сильная сверлящая боль в области пораженной кости. В этом месте появляется припухлость, кожа приобретает багровый или синюшный оттенок, ощупывание очень болезненное.




  В кости возникает гнойник. Он может распространяться на расположенные рядом мышцы, суставы. В других случаях гной через некоторое время прорывается наружу, образуется свищ.




  Если инфекция проникла извне во время травмы, то постепенно возникают признаки воспаления: поврежденная конечность становится опухшей и имеет большую толщину, она болезненная, из раны начинает выделяться гной. Одновременно ухудшается и общее состояние: появляется слабость, разбитость, повышается температура тела.




  У части пациентов остеомиелит переходит в хроническую форму. При этом образуются свищи (каналы, соединяющие гнойный очаг с поверхностью кожи) и секвестры (отделившиеся и отмершие фрагменты костей). На некоторое время состояние больного улучшается. В дальнейшем периодически возникают обострения, во время которых повышается температура тела, снова возникает боль, свищ открывается, и из него начинает выделяться гной.


"
Подагра,"

  Возникает острая боль, отек и покраснение сустава (обычно одного или двух). Такое острое состояние (его часто называют
  
   приступом подагры
  
  ) может продолжаться в течение нескольких дней или недель (если не проводить никакого лечения).
  
   Приступ подагры
  
  часто возникает в ночное время, сустав становится горячим на ощупь и очень чувствительным даже к легким прикосновениям.




  Очень часто поражаются суставы большого пальца на стопе, но могут быть вовлечены и другие суставы (голеностопный, коленный, пальцев рук и кисти). В некоторых случаях одновременно воспаляются сухожилия сустава.


"
"Препараты, используемые для укрепления костной ткани",
Применение глюкокортикостероидов (ГКС),
Псориатический артрит,"

  Симптомы псориаза включают кожные изменения: красные шелушащиеся пятна на коже, образование шрамов в виде оспин и изменение пигментации в области ногтей на руках и ногах. Пятна (медики говорят «псориатические бляшки») могут быть очень небольшими. Очень часто они встречаются на коже головы у линии роста волос, на голени сразу под коленом или на предплечье перед локтем, но могут быть и широко распространены по всему телу (на туловище, на голове и на конечностях). Часто их появление сопровождается зудом и дискомфортом для больного.




  Боль и опухание суставов, чаще всего последних суставов пальцев на руках и ногах, а также запястий, локтевых и коленных суставов. В некоторых случаях может быть поражен только один сустав, но возможно и вовлечение в воспалительный процесс нескольких суставов, так что клиническая картина напоминает ревматоидный артрит.




  Крестцово-подвздошные сочленения и позвоночник также могут быть затронуты воспалительным процессом. Именно из-за этого псориатический артрит относится к группе заболеваний, известных как спондилоартрозы.

  Псориатический артрит развивается в течение длительного времени, но также может возникнуть внезапно.


"
Реактивный артрит,"

  Боль и опухание чаще всего коленного, локтевого суставов и суставов пальцев на ногах, обычно являются первыми признаками реактивного артрита. Другие суставы (запястный, локтевой, суставы позвоночника и пальцев на руках) тоже могут быть воспалены.




  Реактивный артрит при инфекциях мочеполовой системы часто сопровождается признаками воспаления простаты и уретры у мужчин, мочевого пузыря, матки или влагалища у женщин. При этом могут быть частые позывы на мочеиспускание (ощущение срочной потребности помочиться), а также жжение во время мочеиспускания. Боль, раздражение и покраснение глаз, нарушение зрения связаны с возникновением конъюнктивита (воспаление слизистой оболочки, закрывающей глазное яблоко и веко), который может возникать до развития артрита или одновременно с поражением суставов.


"
Ревматическая полимиалгия,"

  Диагноз ревматической полимиалгии поставить довольно трудно. Как правило, это заболевание выявляется несвоевременно. Больным в течение нескольких недель, а нередко и лет, ставят ошибочные диагнозы, поскольку основное проявление болезни — болевой синдром.




  Заболевание развивается остро, среди полного здоровья. Нередко больные могут назвать день и час, когда внезапно и без видимой причины появляются интенсивные боли в мышцах дергающего, режущего, тянущего характера. Больной ложится спать «здоровым», а утром не может встать с постели из-за выраженной боли и скованности в мышцах. Из-за болей движения становятся ограниченными: больным трудно встать, сесть, поднять руки, завести их за спину, невозможно без помощи войти в транспорт и т.д. Важно пронаблюдать, как больной поднимается с постели: сначала медленно, морщась от боли, поворачивается на бок, подтягивает ноги к животу, спускает их с постели, опираясь руками, с трудом садится и лишь затем, также с помощью рук, встает.




  В других случаях начало более постепенное. Процесс может начаться с небольшой скованности в одной группе мышц (например, плеча), и по истечении нескольких недель вовлекать мышцы спины, ягодиц и бедер. Если не лечить, тяжесть симптомов может измениться за месяцы.




  Мышечная боль и скованность тяжелее по утрам и уменьшаются в течение дня. Кроме того, ощущение скованности появляется после любого периода неподвижности.




  В дополнение к жалобам на мышечные боли люди с ревматической полимиалгией отмечают слабость и усталость, плохой аппетит, ночные поты и лихорадку, потерю веса и депрессии. С этих жалоб часто начинается болезнь, и в некоторых случаях эти симптомы намного более выраженные, чем мышечные боли и скованность.




  Артриты при ревматической полимиалгии обычно появляются через несколько месяцев после возникновения мышечных болей. Во многих случаях больные, поглощенные болью в мышцах, не замечают артрит, и изменения суставов выявляются только при внимательном осмотре: видна припухлость суставов, болезненность при пальпации и боль при пассивных движениях. Процесс может быть как двусторонним, так и односторонним. Определить давность артрита бывает невозможно. В тяжелых случаях возможна потеря трудоспособности.


"
Ревматоидный артрит,"

  Наиболее характерным проявлением является полиартрит, т.е. воспаление сразу нескольких суставов. Как правило, развивается симметричное двусторонне поражение суставов одной или нескольких групп — вовлекаются суставы кистей, стоп, лучезапястные, коленные, межпозвоночные суставы шеи. Отмечается болезненность при пальпации, припухлость, тугоподвижность, повышение температуры кожи над суставом. Часто отмечается скованность движений в суставах особенно выраженная после длительного покоя. Утренняя скованность более 1 часа почти всегда свидетельствует об артрите. Заболевание характеризуется волнообразным течением с периодами обострения и ремиссии. По мере прогрессирования развиваются деформации суставов, связанные с частичным разрушением суставного хряща, растяжением сухожилий и капсулы сустава.




  У большинства пациентов
  
   ревматоидный артрит
  
  начинается постепенно, проявляясь утомляемостью, слабостью, снижением аппетита, похуданием и другими неспецифическими симптомами.


"
Системная красная волчанка,"

  СКВ может начинаться с поражения какого-либо одного органа или нескольких сразу. В зависимости от этого первично будут появляться те или иные симптомы заболевания:



 
  
   боль в мышцах и суставах;
  
  
   отек кистей и стоп, связанный с артритом мелких суставов;
  
  
   сыпь на щеках и переносице (стойкие красные пятна или бляшки);
  
  
   дискоидная волчанка толстые красные чешуйчатые пятна на коже волосистой части головы, ушных раковинах, лице, руках, открытых участках груди и спины;
  
  
   очаговое выпадение волос;
  
  
   язвы на слизистой оболочке ротовой полости и носа;
  
  
   повышенная чувствительность кожи к солнечному свету;
  
  
   депрессия, тревожные расстройства, психозы;
  
  
   тошнота, жидкий стул;
  
  
   снижение зрения.
  
 



  Больные также жалуются на необоснованные подъемы температуры, слабость, головные боли, быструю утомляемость.


"
Склеродермия,
Эндопротезирование суставов,
Брекеты,
Галитоз (неприятный запах изо рта),
Гингивит,
Зубной абсцесс,"

  Основные симптомы абсцесса:



 
  
   Продолжительная сильная острая ноющая или пульсирующая боль в зубе
  
  
   Болевые ощущения при надавливании на зуб, в частности при жевании
  
  
   Повышение чувствительности зуба к температурным раздражителям (горячему и холодному)
  
  
   Регулярное ощущение горечи во рту
  
  
   Постоянное общее недомогание и ощущение дискомфорта
  
  
   Нарушение сна, аппетита
  
  
   Повышение температуры
  
  
   Образование неприятного гнилостного запаха изо рта
  
  
   Заметное увеличение шейных лимфоузлов
  
  
   Покраснение и отек десен
  
  
   Образование на поверхности десны открытой язвы с гнойными выделениями
  
  
   Отек и опухание мягких тканей лица в области челюстей
  
 

"
Зубной камень,
Изменения эмали зубов,
Кариес,
Киста зуба,"

  Долгое время киста не вызывает дискомфорта и никак не проявляется, при этом происходит разрушение тканей зуба. Увеличивающаяся киста может вызывать боль, причем не только зубную, но и головную, а так же ухудшение самочувствия, повышение температуры тела и увеличение лимфатических узлов. Внешне киста может давать о себе знать нагноением, отеком десны или свищевым ходом.


"
Методы имплантации зубов,
Неправильный прикус,
Пародонтоз и пародонтит,"

  При пародонтозе патологический процесс носит невоспалительный характер, и проявляется обнажением шеек зубов за счет разрушения тканей вокруг зуба. При этом зубы длительно сохраняют хорошую фиксацию (она нарушается позже, когда зуб оголяется на большом протяжении), имеются незначительные зубные отложения, бледное окрашивание десен, десневые карманы и выделения гноя отсутствуют. Пациента беспокоит повышенная чувствительность шеек зубов, ощущение зуда в деснах. Постепенно прогрессируя, болезнь может приводить к потере зубов.




  К сожалению, для пародонтоза свойственно медленное развитие. На начальной стадии пародонтоз не вызывает болевых и других ощущений.




  Болезнь развивается бессимптомно, постепенно разрушая пародонт. Поэтому больные, как правило, не спешат обращаться к врачу.




  
   Пародонтит
  
  может выражаться по-разному в зависимости от стадии, а часто начинается с кровоточивости десен. На этой стадии процесс еще обратим не затронута пародонтальная связка, которая окружает зуб и связывает его с соседними, так чтобы жевательное давление распределялось равномерно по всему зубному ряду и не возникала перегрузка в тканях пародонта.




  Без лечения процесс проникает глубже и разрушает пародонтальную связку, возникает пародонтальный карман, в который, в свою очередь, откладывается налет и камень и стимулирует дальнейшее прогрессирование процесса. Пародонтальные ткани (окружающие зуб десна, костная ткань) разрушаются, и зуб начинает шататься, теряя костную опору в челюсти. На этом этапе может наблюдаться так же изменение положения зубов, их патологическая подвижность, появление щелей между ними, нарушение функции жевания, травматическая артикуляция.




  Начальный период болезни характеризуется зудом, пульсацией в деснах, подвижностью зубов, чувством неудобства при жевании, неприятным запахом изо рта. По мере прогрессирования процесса опорный аппарат зуба расшатывается, подвижность зубов увеличивается, шейки зубов обнажаются и приобретают повышенную чувствительность. Отсутствие адекватных мер терапии на данном этапе приводит к потере практически здоровых зубов.




  Обострение хронического пародонтита обычно связано с резким ухудшением общего состояния больного (инфекционные болезни, сердечная недостаточность и т.д.). При обострении возникает резкая пульсирующая боль, повышение температуры, недомогание и слабость. Отмечается яркое покраснение и вздутие десны, из зубодесневого кармана выделяется гной.


"
Периодонтит,"

  
   Периодонтит
  
  проявляется резкими болями в области зуба, усиливающимися от прикосновения к нему. Припухлость губы, щеки, десна увеличена, зуб подвижен. Иногда на десне обнаруживается отверстие, из которого вытекает гной. Это свищ, т.е. канал, который образовался для оттока содержимого из инфицированной полости.




  Хронический периодонтит может проявляться в виде неприятных и слабых болевых ощущений (чувство тяжести, распирания, неловкости, болезненности при жевательной нагрузке на этот зуб). Хронический периодонтит может длительно себя не проявлять и обнаруживаться случайно на рентгеновском снимке при лечении соседних зубов.


"
